Year,LogSalePrice,SqftLot,SqftAbove,SqftBasement,SqftLawn,Floors,Bedrooms,Bathrooms,Kitchens,Condition,Grade,OnlineGrade,YearsSince1900Built
2014,13.0280527,4502,2950,0,0,2,4,2.5,1,3,7,7.2,105
2014,13.03571557,6828,860,300,3600,1,2,1.75,0,3,7,7,41
2015,13.21749172,4751,3420,0,738,2,4,3.5,1,3,10,7.9,103
2014,13.52782849,10578,1550,690,4089,2,3,1.75,1,5,8,9.4,23
2014,12.36734079,8891,1180,270,2779,1.5,4,1.75,1,3,7,6.8,62
2014,12.56374709,7930,1820,0,3029,2,4,2.5,1,5,7,8.8,89
2015,14.7900702,13730,3500,1200,4153,2,4,3.5,1,3,11,8.7,58
2015,13.30801272,14000,1580,850,4034,1,4,1.75,0,4,7,8.2,63
2014,13.36922346,4080,1960,0,0,1.5,3,1.5,1,3,7,7.4,15
2014,12.49500394,10920,1440,0,5509,1,3,1.75,0,4,8,8.3,77
2015,13.47583319,4385,2730,0,0,2,4,2.5,1,3,8,7.3,101
2014,12.40697059,9000,910,0,550,1,2,1,0,3,5,6.4,23
2015,12.61486554,9000,910,0,2664,1,2,1,0,3,5,6.4,23
2014,13.80546022,6325,2020,410,6325,2,4,2.5,1,4,8,8.4,19
2015,13.51440411,6500,3350,0,0,2,4,2.75,1,3,10,8,99
2014,13.08154138,4322,1140,1180,1379,1,4,1.75,0,3,7,7.2,10
2014,12.62806706,1622,1260,0,0,3,3,2.5,2,3,8,7,109
2015,13.46353882,3525,1590,390,0,1.5,3,2,1,4,8,8.2,32
2015,12.4874851,8468,1580,0,2403,2,4,1.5,1,4,7,7.6,71
2015,13.30468493,35009,2710,0,12129,2,4,2.5,1,3,9,7.7,92
2014,12.44114477,9750,1400,0,6059,1,3,1,0,3,7,7.1,68
2015,13.33416283,7950,2410,0,4471,2,4,2.5,1,3,8,7.4,97
2014,12.86099861,2460,1100,690,2460,2,4,3.25,1,4,7,7.7,100
2014,12.67294638,9234,1060,580,0,1,3,2,0,5,7,8.5,67
2015,13.45310494,8023,1170,500,0,1,3,2.5,0,5,7,9.1,60
2014,12.7512997,5750,970,0,0,1,2,1,0,4,6,7.6,32
2014,12.84792653,1778,1610,0,1778,3,3,2.5,2,3,7,7,102
2014,13.38087407,26036,1160,900,9886,1,4,1.75,0,4,8,8.3,47
2014,13.49392693,35271,3570,0,11585,2,3,2.5,1,3,9,7.8,97
2014,12.50599204,7735,1400,0,4586,1,3,1.75,0,4,7,7.6,89
2014,13.68197917,32109,3470,0,11081,2,4,2.5,1,3,10,8.1,95
2014,12.61137107,9525,1210,0,2465,1,3,1,0,3,7,7,55
2014,14.44411922,10929,3930,0,2309,2,4,3.25,1,3,10,8.2,106
2014,12.97154049,4802,990,0,2780,1,2,1,0,3,7,7,47
2015,13.11231304,4942,2200,0,2491,2,5,2.5,1,3,8,7.4,89
2014,12.52452638,16200,1510,0,3160,1,3,1.5,0,3,7,7.1,70
2014,12.71589777,5040,1120,500,725,1,3,1,0,3,7,6.8,64
2014,12.41714362,7941,1580,0,0,2,3,2.25,1,4,7,7.7,86
2015,12.22859217,15000,1260,0,3321,1.5,3,1.75,1,4,7,7.9,83
2014,12.97618087,13673,2190,0,1837,1,3,2,0,4,9,8.4,94
2014,12.07254125,13056,1230,0,1994,1,3,1.75,0,4,7,7.6,62
2015,13.229063,7140,1400,630,1186,1,4,2.5,0,4,7,7.9,68
2014,12.56374709,3475,780,0,1178,1,2,1,0,4,5,7.2,30
2014,12.67607627,1200,1110,0,0,3,2,1.5,2,3,8,7.3,100
2015,13.61094339,53143,2790,0,17417,2,3,2.5,1,4,9,8.8,91
2015,12.86099861,10757,1000,660,4306,1,4,1.75,0,3,7,6.9,80
2014,13.85376927,5000,2190,1220,1897,2,4,1,1,5,8,9.4,10
2014,12.76568843,13002,2390,0,675,2,4,2.25,1,3,8,7.1,87
2014,12.53177279,5880,1850,0,3401,2,4,2.5,1,3,8,7.7,98
2015,12.9360338,5200,1250,1250,0,1,6,2,0,3,8,7.2,66
2014,12.59473064,8320,1000,0,2202,1,3,1,0,5,6,8.6,51
2014,13.78401989,5000,2200,250,0,2,4,2,1,5,8,9.1,19
2014,12.73637143,6144,720,720,3923,1,4,1.75,0,5,6,8.3,47
2014,12.50599204,7003,1660,0,3156,2,3,2.25,1,3,7,7,96
2014,13.98525333,4600,2510,0,2429,2,3,2.5,1,3,10,8.1,106
2014,13.5670492,12511,3090,0,0,2,4,2.5,1,4,10,8.7,98
2015,12.19602231,5185,860,0,0,1,3,1,0,4,6,7.8,68
2015,12.76568843,28703,1220,0,10157,1,2,1,0,4,7,8,53
2014,12.76568843,7680,1010,0,839,1,3,1,0,4,7,7.9,67
2014,12.67294638,7350,2390,0,1950,2,4,2.25,1,3,8,7.1,90
2014,12.64754819,8000,3340,0,0,2,4,2.25,1,4,8,8.4,73
2014,12.88410619,4650,2790,830,168,2,5,3.25,1,3,8,7.5,104
2014,14.10444185,5800,2910,1290,2044,2.5,5,2.25,1,4,9,8.8,6
2014,14.80876233,13800,3831,0,3879,2,5,2.75,1,3,9,8,59
2014,12.88916949,9540,1080,900,2144,1,3,1,0,3,7,7,49
2015,13.6035542,8372,1340,450,6003,1,4,1.75,0,4,8,8.2,76
2014,13.08154138,7400,1050,530,0,1,3,2,0,3,7,7,77
2014,13.19002203,6000,1230,1230,219,1,6,1.75,0,4,7,7.9,13
2015,12.95984445,5120,1870,240,1232,2,5,2.75,1,3,7,6.9,47
2014,12.91902245,1204,1470,0,1204,3,3,2.5,2,3,8,7.5,106
2015,14.04264613,13100,3510,0,3291,2,4,2.5,1,4,10,8.9,66
2015,12.64432758,2885,520,0,1294,1,1,0.75,0,4,6,7.6,47
2014,12.58450908,7421,1950,0,1836,2,3,2.5,1,3,8,7,96
2015,12.28765263,9715,770,0,529,1,2,1,0,4,6,7.6,42
2015,12.89546278,6064,2250,0,2697,2,4,2.5,1,3,8,7.3,105
2015,14.62644077,7200,3340,700,0,1.5,3,3,1,4,9,8.7,30
2015,13.45883561,6000,1280,1080,0,1,4,1.75,0,3,7,6.9,55
2014,13.27936713,45860,2330,0,14114,2,4,2.5,1,3,9,7.7,89
2014,12.89909482,8910,1720,0,2471,1,3,1,0,4,7,7.6,54
2014,12.36734079,8540,950,950,1352,1,3,1.75,0,3,6,6.3,80
2014,12.26434155,6800,1040,0,296,1,3,1,0,5,6,8.6,51
2014,12.64432758,9195,1220,850,2457,1,3,2,0,3,8,7.2,82
2014,13.19747085,9195,1220,850,2791,1,3,2,0,3,8,7.2,82
2014,12.87390202,1608,1280,270,1608,2,3,3,1,3,8,7.1,101
2014,13.23569206,11935,2020,0,3168,1,3,2.5,0,4,9,8.8,76
2014,13.59236701,9024,3320,0,2280,2,5,2.5,1,3,9,7.7,99
2014,14.45736444,112521,4130,0,33668,2,4,3.25,1,3,11,8.6,78
2014,13.06473426,9804,1110,920,4504,1,5,2,0,3,7,7.1,63
2014,13.12745042,7875,1170,600,3680,1,3,1.75,0,4,7,8,58
2015,13.62918098,7809,3330,0,1491,2,4,3.25,1,3,9,7.9,104
2014,12.32363343,9686,1520,740,2429,1,4,2.5,0,4,7,7.5,65
2014,12.8346813,6871,1950,0,1523,2,3,2.5,1,3,8,7,97
2014,13.3770056,19900,2930,0,3867,1.5,3,2.5,1,3,9,7.8,83
2014,13.30301688,2500,1410,550,2009,1.5,3,2.75,1,5,7,8.8,26
2015,13.15192218,12534,2980,0,2611,2,4,2.5,1,3,9,7.6,96
2014,11.81303006,6685,780,0,5374,1,2,1,0,4,5,7.1,48
2014,13.09190417,4218,1650,0,3082,2,3,2.5,1,3,8,7.4,100
2014,13.69897674,12765,2800,1230,3664,2,3,3.25,1,4,9,8.5,75
2015,12.27839331,10125,1010,0,4869,1,3,1,0,4,7,7.9,72
2014,12.6098697,9600,1190,0,4436,1,3,1,0,3,7,6.9,81
2014,13.59236701,8750,1050,0,1430,1,2,1,0,4,7,8,51
2015,12.52452638,4244,1560,0,3023,2,3,2.5,1,3,7,7,102
2015,12.454494,7800,1010,480,656,1,3,1.5,0,3,7,6.9,63
2015,12.64432758,8149,770,0,2880,1,2,1,0,4,6,7.8,48
2015,12.86099861,5100,620,0,3655,1,1,1,0,3,6,6.9,54
2015,12.22096126,9120,1000,200,1124,1,3,1.5,0,3,7,6.9,63
2015,12.56024446,6865,1060,1060,1622,1,4,2,0,3,7,6.9,54
2015,13.06890986,3610,2330,0,805,2,3,2.5,1,3,8,7.4,99
2014,12.67607627,9760,1400,600,611,1,3,1.75,0,4,8,8.2,78
2014,13.30301688,4608,1450,1370,490,1,5,2.75,0,3,7,6.9,67
2014,13.27078338,4800,1020,1020,4312,1,3,2,0,4,7,7.8,25
2014,12.50432367,7056,1700,0,0,2,4,2.25,1,3,7,7.1,99
2014,12.52088339,6200,820,0,5745,1,2,1,0,4,6,7.5,54
2015,12.75708006,2162,1315,0,2162,2,2,1.75,1,4,8,8.2,74
2014,12.50617724,10905,860,530,4316,1,3,1.75,0,3,6,6.5,57
2015,14.173185,12017,1890,0,2778,1,3,2,0,3,8,7.3,49
2015,12.30138283,7226,1460,0,2551,1,3,1.75,0,3,7,6.8,93
2015,12.40081672,15416,1480,0,2228,1,3,1,0,4,8,8.2,55
2014,13.03353216,4030,1050,790,962,1,3,1.75,0,5,7,9,25
2014,12.7367009,7208,940,940,1964,1,2,1.75,0,3,7,7.2,51
2014,13.39620004,5000,1610,300,0,1.5,4,1.5,1,3,7,7,12
2015,12.71439514,4720,2220,0,1835,2,4,2.5,1,3,7,7.1,98
2014,12.7367009,10015,1410,0,3107,1,3,2,0,3,6,6.6,93
2014,12.76568843,16133,2330,1050,5711,1,4,3,0,3,8,7.5,59
2015,12.96687847,5602,1120,830,2072,1,4,2.5,0,5,7,8.7,66
2015,13.15202897,8320,2400,0,0,2,4,2.5,1,3,8,7.6,99
2015,13.01700286,8968,1560,0,1030,1,3,1.75,0,4,8,8.2,72
2015,12.15477935,8910,1040,0,2114,1,3,1,0,3,6,6.6,43
2014,13.81551056,16538,2590,500,4132,3,4,2.75,2,4,8,8.3,19
2014,12.60819885,4600,1850,0,256,2,3,2.5,1,3,7,7.1,105
2014,13.13823673,2500,1090,110,561,2,2,1,1,3,7,7.2,27
2014,12.59133505,3746,2190,0,3746,2,4,2.25,1,3,8,7.3,105
2014,12.67607627,5820,1380,0,0,1,2,1,0,3,7,7,18
2015,13.37078474,8674,3710,0,4259,2,5,2.75,1,3,9,7.7,96
2014,13.42246797,98445,1380,940,33096,1,3,2.5,0,4,8,8.3,78
2014,12.44901882,10296,1110,0,0,1,3,1.5,0,5,7,8.9,64
2015,12.56602073,4997,1830,0,1490,2,3,2.5,1,3,7,7.1,104
2015,13.31710745,45738,1650,810,12004,1,4,2.5,0,4,8,8.3,69
2015,13.54763111,6500,1270,0,0,1,3,1,0,4,7,7.8,56
2014,12.72173655,40973,1700,0,12137,1,4,1.75,0,3,8,7.4,61
2014,12.96219463,9147,1130,0,2230,1,3,1,0,5,7,8.8,52
2014,13.56061831,18730,1640,0,6295,1.5,3,1.75,1,4,7,7.6,46
2014,12.74548573,8526,1040,0,0,1,2,1.5,0,5,6,8.8,53
2014,13.06070284,7800,2320,0,0,2,4,2.5,1,3,8,7.5,86
2015,12.18075484,7800,1200,0,5872,1,3,1.5,0,4,7,7.7,58
2015,13.55738729,4410,1720,0,0,1.5,4,1,1,3,7,7.1,28
2014,13.01700286,11740,1330,1000,2328,1,3,1.5,0,3,8,7.3,54
2014,14.17841605,9231,4410,0,0,3,4,3.75,2,3,11,8.2,101
2014,13.17115354,8560,1650,0,7686,1,4,1.75,0,3,8,7.5,70
2014,12.54254488,11400,1370,0,3301,2,3,1.5,1,3,7,7,80
2014,12.50617724,8640,1420,350,7196,1,3,2.5,0,3,7,7.1,86
2014,12.91435471,1332,1410,0,1332,3,3,2.25,2,3,8,7.3,105
2014,12.71452746,4187,1710,0,2853,1,2,1.75,0,3,7,6.7,87
2015,11.60823564,8250,790,0,7724,1,2,1,0,3,6,6.5,47
2014,13.43717412,5854,2120,650,3228,1.5,6,2.25,1,3,8,7.4,21
2014,13.04115332,8505,1260,0,1085,1.5,4,1,1,5,7,8.7,51
2015,13.32937755,8067,1300,1000,1942,1,3,2.25,0,4,8,8.4,79
2015,13.21767356,3000,870,200,0,1,2,1,0,4,7,7.8,26
2014,13.87377947,8100,2430,1420,6094,2,4,3.5,1,3,11,8.5,95
2014,13.43717412,219978,2320,0,70835,2,3,2.5,1,4,8,8.5,93
2014,14.2569861,16238,2870,0,4551,2,5,2.5,1,4,8,8.2,62
2014,12.65075847,5175,1830,0,4923,2,4,2.5,1,3,7,6.8,103
2014,13.13725199,9594,1190,800,0,1,3,1.75,0,3,8,7.3,77
2014,12.28765263,9827,1110,0,2045,1,3,1,0,3,7,6.8,66
2014,12.99225469,13477,1170,660,4912,1,3,2.25,0,4,7,8.1,81
2014,13.33747476,6875,2740,860,2130,2,6,3.5,1,3,8,7.1,104
2014,13.72667934,8532,3210,0,1851,2,4,2.5,1,3,10,8.3,98
2014,12.95984445,5300,1110,380,0,1,4,2,0,3,7,6.8,77
2015,12.98310131,5643,870,120,2674,1,2,1,0,3,7,7,47
2014,12.62806706,12414,1646,0,5825,2,3,2.25,1,3,7,6.9,96
2015,12.52815614,4000,720,0,0,1,2,1,0,3,6,6.6,18
2014,12.69924333,7200,2310,0,3170,2,3,2.25,1,3,8,7.2,90
2014,13.60478953,10481,2670,0,2931,2,3,2.5,1,3,9,7.5,103
2014,13.48003782,9055,2460,600,0,2,3,3.25,1,3,10,8,94
2014,12.51355735,11760,1380,0,1859,1,3,1.5,0,4,7,7.7,63
2015,12.49125159,5559,700,0,5201,1,2,1,0,5,6,8.4,49
2015,13.2048646,8364,1710,0,1120,2,3,1.5,1,3,7,7.2,44
2014,12.89921983,8064,1450,0,4553,1,3,2.5,0,3,8,7.3,84
2014,13.14118513,9000,1320,740,5644,1,5,2.25,0,4,7,8,61
2014,13.11231304,6250,1670,710,0,2,3,3.5,1,3,8,7.3,97
2015,12.95972679,5564,2760,0,0,2,4,2.5,1,3,7,6.9,101
2014,12.34583459,10875,940,0,5240,1,3,1,0,3,7,6.8,57
2014,12.36734079,6150,1760,0,952,1.5,4,1.5,1,3,7,6.8,51
2015,13.54501331,8752,1360,0,722,1,3,2,0,4,6,7.8,42
2014,12.76568843,6150,2010,0,148,2,3,1.75,1,5,7,8.5,39
2014,13.71015004,2260,1620,540,1036,2,3,1.5,1,5,8,9.3,17
2014,12.4292162,6060,930,0,1640,1,3,1,0,4,6,7.5,73
2015,12.32385568,2040,720,300,0,2,3,2.5,1,3,7,6.7,104
2014,12.44901882,5433,1360,0,1775,1,2,2,0,3,8,7.1,74
2014,11.99349805,7200,1220,500,1553,1,4,1.75,0,3,7,6.7,74
2015,12.72486644,13350,1190,600,0,1,3,3,0,3,7,7,88
2014,12.92513121,6800,1150,0,2970,1,3,1,0,3,7,7.4,54
2014,13.12774885,14016,2710,0,855,2,4,3.5,1,4,8,8.5,68
2014,13.13231371,9601,1390,1010,6450,1,3,2.5,0,5,7,8.8,77
2014,12.4292162,7650,1350,310,5222,1.5,3,1,1,3,7,7,10
2015,13.25339164,7650,1350,310,2907,1.5,3,1,1,3,7,7.4,10
2015,12.76540268,8796,2290,0,3503,2,4,2.5,1,3,8,7.4,94
2014,13.04979268,25663,2870,0,8087,2,3,2.5,1,3,10,7.9,88
2014,13.34550693,25639,3550,690,8895,2,4,3.25,1,3,10,7.8,89
2015,13.39239051,5102,1170,630,5102,1,3,1.75,0,3,7,6.8,52
2015,13.05835805,11347,1570,1390,1509,1,4,1.75,0,4,8,8.2,46
2014,12.77987307,7200,1300,680,742,1,3,2.25,0,3,8,7.5,64
2015,13.29799595,2631,1730,0,1849,2,3,2.5,1,3,8,7.5,101
2015,13.57978822,36893,3020,0,15395,2,4,2.5,1,3,9,7.9,86
2014,13.69334292,86225,4470,0,28294,2,4,2.25,1,3,10,8,91
2014,13.84506936,4000,1910,920,2186,2,4,3.25,1,3,9,7.7,12
2015,13.47302025,5400,1060,1060,4552,1,4,1.75,0,4,8,8.1,41
2014,12.96697193,9266,2150,0,3922,2,3,2.5,1,3,8,7.5,88
2015,14.1303213,13843,1850,1660,258,1,5,2.25,0,3,8,7.3,59
2014,13.21037425,3400,970,0,1245,1,2,1,0,3,7,7.1,24
2014,13.19932442,5766,1360,0,250,1.5,4,1,1,5,7,9,51
2014,12.98310131,3000,930,540,591,1,3,2.5,0,3,7,7.2,85
2015,13.19932442,10283,1430,1610,0,1,4,2.25,0,4,8,8.1,84
2014,12.55672952,7204,860,0,4760,1,2,1,0,3,7,6.6,18
2014,12.24529336,5700,820,0,1081,1,2,1,0,5,5,8.2,42
2014,12.66032792,7076,1130,770,2021,1,3,1.75,0,3,7,6.9,77
2014,12.94203982,5510,850,480,631,1,2,1,0,3,6,6.8,10
2014,12.7512997,38095,1240,0,16019,1,3,1.75,0,3,7,7.1,78
2014,12.8346813,1064,1330,0,1064,3,3,2.5,2,3,8,7.6,104
2014,12.87338907,12821,1880,0,1643,1,3,1.75,0,3,7,7,59
2015,13.07107008,7560,1430,460,2158,1,3,1.75,0,3,8,7.2,73
2014,13.25163571,41688,2250,0,14367,2,4,2.25,1,3,8,7.4,80
2015,13.80039692,108464,3260,1390,37274,2,5,4.25,1,3,10,8.2,99
2015,13.18439877,8022,1830,0,1282,2,3,2.5,1,3,8,7.4,87
2014,12.54254488,5000,720,0,563,1,2,1,0,5,6,8.4,51
2015,12.98310131,50112,1050,910,18691,1,4,2,0,4,7,7.9,63
2015,12.31492705,71191,1220,0,27849,1,3,1,0,3,6,6.6,52
2015,12.87390202,119790,1200,600,37308,1,2,1,0,4,7,8.1,47
2014,12.66032792,12800,880,460,5989,1,3,1.75,0,3,7,6.9,81
2014,13.32448756,3700,1740,0,0,1,3,3,0,3,7,7,82
2014,13.2895713,2400,870,810,2400,1,3,1.75,0,5,7,8.9,22
2014,13.59236701,8436,3220,0,1306,2,4,2.25,1,3,8,7.5,68
2015,12.32385568,8400,1610,0,994,1,3,2,0,3,8,7.1,90
2014,13.28770831,66646,3160,0,21744,2,2,3,1,3,7,7.2,93
2014,13.24458101,13156,1520,1000,1526,1,4,2.5,0,3,8,7.3,79
2015,13.38472764,8448,1060,1060,2972,1,3,1.5,0,3,7,7.1,40
2014,13.12036137,8505,2090,0,4303,2,3,2.5,1,3,8,7.3,51
2014,12.54254488,20562,1330,0,6834,1.5,3,1,1,3,5,6.3,59
2015,13.38465072,7500,1210,1210,3637,1,3,2.5,0,4,8,8.3,44
2014,12.94800999,6360,1510,0,1313,1,3,1.75,0,4,7,7.8,54
2014,12.67604502,5293,2120,0,3620,2,4,2.5,1,3,7,7.1,103
2014,12.4874851,16535,1850,0,3819,1,3,2,0,3,7,7,92
2015,13.08569939,16474,1220,1080,4373,1,3,1.75,0,3,7,6.9,84
2014,13.02143746,14810,1490,1110,3169,1,3,2.25,0,4,8,8.3,56
2014,14.21294349,13077,4280,900,2774,2,4,4.25,1,3,12,8.7,98
2014,12.8346813,8527,1810,0,3701,1.5,2,1,1,4,7,8,43
2014,13.28448223,4900,1490,700,4194,2,5,3,1,5,7,8.7,40
2015,13.36138028,10215,2500,0,1626,2,4,2.5,1,3,9,7.7,98
2014,12.544329,6962,1890,0,56,2,4,2.5,1,3,8,7.1,97
2014,12.25724093,8600,1430,610,1986,1,2,1.75,0,4,6,7.3,85
2014,12.18841771,7000,1310,0,0,1,3,2,0,4,7,7.7,79
2014,14.14840497,8510,2850,1160,2074,2,5,3.5,1,5,9,9.6,71
2015,13.07107008,8033,1210,570,3074,1,3,1.75,0,2,7,6.1,77
2015,13.21767356,9061,1980,0,48,2,3,2.5,1,4,8,8.3,87
2014,14.27293541,7200,3690,0,537,2,3,3.25,1,3,11,8.6,107
2015,12.3883942,6687,1200,340,804,1,3,1.75,0,3,7,6.8,91
2015,12.51355735,8100,1130,0,649,1.5,3,1,1,3,6,6.6,34
2015,12.92026188,209199,1870,610,69665,1.5,3,2.75,1,3,8,7.5,100
2014,13.36922346,7500,2580,0,4204,2,3,2.5,1,3,9,7.8,91
2014,12.66349749,7226,2010,0,3701,2,4,2.5,1,3,8,7.4,95
2014,12.60819885,12000,1720,600,2826,1,4,2,0,3,7,6.9,43
2015,13.01143182,2090,1180,0,0,2,2,2.25,1,3,7,7,104
2014,13.50966451,21904,3180,0,3328,2,4,2.5,1,3,9,7.7,100
2014,13.40754232,52567,2970,0,18776,2,4,2,1,3,8,7,24
2015,13.46878594,13212,1590,1460,4263,1,5,2.5,0,4,8,8.3,75
2014,12.27839331,8000,1630,0,2448,1,4,1.75,0,3,7,7,59
2014,12.52452638,6415,1620,0,1256,2,3,2.25,1,4,7,7.8,89
2015,13.38164598,8240,2170,0,5581,2,4,2.25,1,4,8,8.5,83
2014,12.9360338,8173,2150,0,2918,2,4,2.5,1,3,8,7.1,87
2014,13.44444688,1800,1770,0,0,3,3,2,2,3,8,7.2,99
2014,12.67607627,13260,1290,820,3405,1,4,2.75,0,4,7,8.1,79
2014,13.52782849,8285,1590,0,555,1,3,1.75,0,4,8,8.5,56
2014,12.77987307,1524,1370,0,634,3,3,2.25,2,3,8,7.1,105
2014,12.41308681,7399,1390,0,1435,1,3,1.75,0,4,7,7.5,75
2014,13.9596109,10464,1640,0,2826,1,3,1.75,0,4,8,8.6,68
2014,13.51979631,12187,2670,0,2207,2,3,2.5,1,3,8,7.1,86
2014,14.00613092,24740,5400,0,5774,2,3,3.75,1,3,11,8,97
2014,12.28765263,6750,1210,480,3142,1,3,2,0,3,7,6.6,77
2014,13.27594247,5100,2600,0,0,2,3,2.5,1,3,8,7.7,98
2014,13.15192218,5000,1150,250,1583,1,2,1.5,0,4,7,8.2,4
2015,13.2946346,8000,1410,730,0,1,4,1.75,0,4,8,8.2,65
2014,12.62181806,5650,1640,0,0,1,3,1.5,0,3,8,7.1,52
2014,12.97154049,15225,1020,700,2385,1,3,1.75,0,4,7,8.1,70
2014,13.47019937,11778,3060,0,5237,2,5,3.25,1,3,8,7.6,104
2014,12.30591798,7260,1150,0,3491,1,3,1,0,3,7,6.8,59
2015,12.69158046,7205,2000,0,1220,2,3,2.5,1,3,8,7.3,98
2014,14.07452306,28008,4810,0,5115,2,0,0,1,3,12,8.6,90
2015,12.86099861,5950,780,780,587,1,3,1.75,0,4,6,7.6,44
2015,12.79246946,4689,2070,0,2719,2,3,2.5,1,3,8,7.2,113
2014,12.97849301,7200,1300,620,1444,1,3,2,0,3,7,7.1,84
2015,13.17115354,4950,800,200,679,1,2,1,0,3,7,7.2,48
2014,12.78324765,10062,940,750,2442,1,3,2,0,5,7,8.8,28
2014,13.29631668,87120,1590,1500,26689,1,4,2,0,4,7,7.9,74
2014,13.23569206,3420,1020,770,1049,1,4,1.5,0,4,7,8.1,23
2014,14.59253922,21701,4750,0,4293,1.5,4,3,1,5,11,10,76
2014,13.14803112,4000,1480,610,3522,1,4,2,0,3,7,7.1,51
2014,12.80765263,2550,680,0,2038,1,2,1,0,4,5,7.1,1
2014,12.81583822,11942,1030,1070,2391,1,4,1.75,0,3,7,7.2,64
2014,13.67624849,4000,1960,880,0,1.5,4,2.75,1,5,8,9.1,12
2014,12.32385568,6808,1160,310,1658,1,3,2.25,0,3,7,6.8,84
2015,14.1426537,24767,3800,690,6024,2,4,4.5,1,3,11,8.4,98
2014,12.08390501,8079,1150,0,86,1,3,1.75,0,4,7,7.7,83
2015,13.04979268,9879,1460,0,2254,1,3,1.5,0,3,7,6.9,56
2014,13.52782849,6343,1810,1340,0,1,4,2.75,0,3,8,7.7,76
2014,11.91170158,2800,1090,0,658,1,3,1,0,3,6,6.5,69
2014,13.31298374,47480,2670,0,14425,2,3,2.5,1,3,9,7.4,81
2014,13.49392693,5800,1990,120,50,1.5,3,2,1,4,7,7.9,27
2014,12.93337968,5236,1770,0,0,2,4,2.25,1,3,7,7.2,107
2014,12.20582261,6600,1510,0,2320,1,3,1.5,0,3,6,6.9,38
2014,12.89921983,13679,530,0,10263,1,1,1,0,4,6,7.7,49
2014,13.67624849,5000,2200,220,1043,2,3,1.5,1,4,8,8.3,25
2014,12.58450908,7666,1490,1000,3516,1,5,2.5,0,4,7,7.7,89
2014,12.32385568,8012,990,0,450,1,3,1,0,4,7,7.5,66
2015,13.05354906,9139,1730,0,1119,2,4,2,1,3,8,7.5,57
2015,12.70684793,11954,1440,0,4967,1,2,1.5,0,4,8,8.5,78
2014,13.55414579,8145,3260,0,1040,2,7,2.25,1,5,8,9.5,67
2015,13.59548713,7000,1450,500,0,1,4,2.25,0,3,8,7.6,57
2014,12.84476364,5400,2740,0,1699,2,5,2.5,1,3,8,7.1,105
2015,13.58609739,12487,2940,0,0,2,3,2.75,1,3,10,8.1,97
2015,13.03898177,7320,1200,0,1945,1,3,2,0,3,7,6.7,55
2014,13.24811458,10908,2070,0,4277,2,3,2.5,1,3,8,7.5,86
2014,12.25462469,15570,1570,0,4873,1,3,1.75,0,3,7,6.8,81
2014,12.9360338,60113,1050,0,21613,1,2,1,0,4,7,8,43
2014,12.95866728,6985,1080,750,474,1,4,1.5,0,3,7,7.2,67
2015,12.47227569,12500,970,0,3090,1,2,1,0,3,6,6.8,41
2014,12.80765263,9696,2200,0,0,2,3,2.5,1,3,8,7.2,87
2015,13.35506114,3240,1930,0,0,1.5,4,2,1,4,7,7.8,11
2014,15.15051162,42840,4320,2730,8679,1,5,5.5,0,4,13,10,78
2014,13.27765626,3962,1790,0,724,2,3,2.5,1,3,8,7.2,92
2014,12.64432758,82328,1560,0,28389,1,3,1.75,0,3,7,6.7,74
2015,13.48283112,7985,2780,0,2356,2,4,2.5,1,4,10,8.6,92
2014,13.41054532,8100,1720,0,3151,2,3,1.5,1,3,8,7.5,7
2014,12.15477935,8100,1040,600,4870,1,3,1,0,3,6,6.5,39
2014,12.97154049,9000,1370,360,6726,1,3,2,0,3,8,7.2,78
2015,12.26904744,7380,740,0,1116,1,2,1,0,4,6,7.5,51
2014,13.07107008,3710,1550,730,83,1,3,2.5,0,3,8,7.7,90
2015,13.383188,23962,2090,0,6717,2,2,2.75,1,4,8,8,88
2014,13.48003782,13458,2550,0,566,2,3,2.5,1,3,9,7.7,90
2015,13.64709191,19487,2460,890,8295,1,4,3.5,0,3,11,8.7,92
2014,12.87390202,8820,1900,870,2983,1,3,2.5,0,3,7,7.3,80
2014,12.87390202,5724,1730,1130,0,1,4,3,0,3,7,7,83
2014,12.70076889,7194,1400,590,1057,1,4,1.75,0,4,8,8.3,78
2014,12.38839004,8436,1140,600,3826,1,3,2.75,0,3,7,6.5,67
2014,12.32385568,7740,1460,0,1110,1,3,2,0,3,7,6.8,68
2014,13.73212895,11884,1950,1720,4805,1,3,1.75,0,4,9,8.8,79
2015,13.75363515,9231,3270,0,5844,2,4,2.75,1,3,10,8.1,95
2015,13.04979268,4872,1210,0,0,1,3,1,0,4,6,7.8,49
2014,12.39255221,7000,1770,0,6031,1,3,2,0,3,7,7.1,86
2014,12.63639295,5909,1980,0,0,2,4,2.5,1,3,8,7.2,103
2014,13.10216067,9627,1610,1040,5262,1,4,2.5,0,4,8,8.2,76
2014,13.38010157,6887,3040,0,1750,2,4,2.5,1,3,8,7.5,99
2014,13.5670492,231739,3640,0,73698,1.5,4,2.75,1,3,10,7.8,99
2014,13.1567648,4332,1810,0,0,2,3,2.5,1,3,8,7.3,92
2014,12.59473064,8682,1380,0,0,1,3,2,0,4,7,8,66
2014,13.23569206,3400,1810,0,2585,2,4,1.5,1,3,8,7.2,26
2014,12.67435605,5472,1750,500,272,1.5,5,2,1,5,7,8.7,30
